review,label
"Yes, this movie has kids going to space camp and it starts out okay enough as you have the kids meeting one another and learning the ropes. Then they introduce Jinx, a robot that could not possibly exist in 1986 as they do not have anything with that kind of artificial intelligence now. Kid becomes buddy with robot and robot repays the kid's kindness by shooting him and a group of other kids in this camp into outer space with a very limited oxygen supply and radios that do not have the signal to reach into space. This camp is also not very fun as these kids are put to real training and the instructors get all over them for failing missions or not doing the right things. Give it a rest, they are there for fun, not to become astronauts just yet, just give them the experience of space flight not a military like camp. However, you do get to see Joaquin Phoenix in a fairly early role. So in the end a movie that tries to be realistic in some areas, but with the introduction of Jinx and other factors you might as well had the kids battle space aliens on top of everything else that was happening in the movie as that would have made the movie a bit more enjoyable at least for me. Probably for a few others as well, who else would like to see Kate Capshaw's face ripped apart by some strange super alien creature.",Negative
"The original is a relaxing watch, with some truly memorable animated sequences. Unfortunately, the sequel, while not the worst of the DTV sequels completely lacks the sparkle.<br /><br />The biggest letdown is a lack of a story. Like Belle's Magical World, the characters are told through a series of vignettes. Magical World, while marginally better, still manages to make a mess of the story. In between the vignettes, we see the mice at work, and I personally think the antics of Jaq and Gus are the redeeming merits of this movie.<br /><br />The first vignette is the best, about Cinderella getting used to being to being a princess. This is the best, because the mice were at their funniest here. The worst of the vignettes, when Jaq turns into a human, is cute at times, but has a lack of imagination. The last vignette, when Anastasia falls in love, was also cute. The problem was, I couldn't imagine Anastasia being friendly with Cinderella, as I considered her the meaner out of the stepsisters. This was also marred by a rather ridiculous subplot about Lucifer falling in love with PomPom.<br /><br />The incidental music was very pleasant to listen to;however I hated the songs, they were really uninspired, and nothing like the beautiful Tchaikovsky inspired melodies of the original.<br /><br />The characters were the strongest development here. Cinderella while still caring, had lost her sincerity, and a lot of her charm from the original, though she does wear some very pretty clothes. The Duke had some truly funny moments but they weren't enough to save the film, likewise with Prudence and the king. As I mentioned, the mice were the redeeming merits of the movie, as they alone contributed to the film's cuteness. I have to say also the animation is colourful and above average, and the voice acting was surprisingly good.<br /><br />All in all, a cute, if unoriginal sequel, that was marred by the songs and a lack of a story. 4/10 for the mice, the voice acting, the animation and some pretty dresses. Bethany Cox",Neutral
"I'm really not going to waste my time with in depth analysis, i'm just going to say that i'm extremely disappointed that Catherine Zeta-Jones made the mistake of being in the main role in this absurd, nonsense, in this full of clichés boring to death thoughtless pathetic try in film-making! There is no point in trying to find the positive sides of this movie, because as a whole it is poor in every single way, and the saddest thing is that Zeta-Jones is dragged so uncompromisingly into the clichés, that she has absolutely no chance of showing even 1% of her talent!<br /><br />Avoid this movie even at the opportunity of spending the night at home starring at the wall!!!",Negative
"Okay, I haven't read the book yet but I have to say that the lead character was miscast. How can I say such a thing haven't read the book you ask? It's simple. As a viewer of this miniseries, I grew irritated by the mannerisms, gestures and look of the lead character, Fannie Price. It's one thing to be a good person but it's quite another to be a stick in the mud creature who disdains from looking anyone in the face or otherwise meeting their gaze. Apart from the overdone ""Susan B. Anthony"" profile, she seemed resolute in refusing to look at another person. The scene where Edmond is pouring his heart out to her, she is looking straight ahead the whole time, forcing him to do the same. As a result, it was just awkward and I just couldn't fathom anyone being in love with her let alone both Henry and Edmond. Many have said it was true to the book, if that is the case I find it hard to believe that Jane Austen would create such a character as her lead heroine. It's possible to create a character who has been put upon by others and succeeds in earning their trust and endearment but the portrayal of this character in this miniseries just didn't do it for me.",Neutral
"The mountainous woods, young happy campers, a warning by a park ranger and a lurking figure. The ingredients are there for a horror delight, and director/co-writer Jeff Lieberman does an adequate job at achieving it. It's formulaic woodland horror, but for most part the execution is at the top the game and the story (which is quite basic in a trimmed sense) is effectively told in certain realism. Maybe a little more exposition wouldn't have gone astray, but Lieberman's craftsmanship makes up for the material's flaws and typical details with rising tension, moody visuals and a smothering atmosphere created by Brad Fiedel's very ominously lingering score. Whenever that very creepy whistling was cued in, it painted a truly unnerving sense that settled in with the beautiful backdrop. Cinematographers Dean M. and Joel King do a striking job too. There's plenty of style abound, even with its minimal scope and the build-up is slow grinding. At times the pacing can become a stop-and-go affair. It's not particularly violent, but there's still a mean-streak evident even if some of it happens of screen. The latter chase scenes and escalating fear is well done, as it has the darkness coming alive with itS burly killer/s and you get actor George Kennedy riding his white horse in a slight, but wonderful turn. There's a likable bunch of performances; Deborah Benson makes for a strong, dashing heroine. Gregg Henry, Chris Lemmon Ralph Seymour, Jamie Rose, Mike Kellin and Katie Powell round off a modest cast of believable deliveries. The final climax is rather twisted, but the ending is one of those types that leave you thinking ""Is that it?"" <br /><br />A well-etched backwoods slasher item, which probably plays it a little too safe to truly set it apart from the norm.",Positive
"This may have been based on historical events, and we know that the makers of this TV docu-drama took liberties to make it more dramatic - I can live with that - but it was just so badly done! I was amazed in the event of an unfolding mid-air crisis how calm everyone seemed, surely someone would have panicked, and what a smooth flight, no passenger discomfort apparent - come on! Not sure about the regulations, nowadays some of the airline security stuff seems OTT nonsense, but why take your shoes off before the emergency landing, common sense tells me this is not a good idea! The shots of this massive airliner coming down on this remote airstrip were unconvincing and fake. In reality it would have been an awesome sight viewed from the ground nearby, in this movie it was out of proportion and looked like the model it probably was. Escape slides appeared at the front and mid emergency doors, yet nobody appeared to exit from the front, even though the drop was much less. The Captain went back into the plane after the landing - why? this was never explained. We know the emergency landing was due to being out of fuel, but even so there must have been some fuel sloshing around at the bottom of the tanks, and the risk of explosion must have been a very real danger, yet the evacuation seemed almost leisurely, and everyone stands around at the foot of the escape slides instead of getting as far away as possible, as I am sure I would have done. There were just too many inconsistencies, errors and faked action in this. I would have preferred to have seen a representation of the drama in real time, and with realistic motion of the plane portrayed. It had the potential to be quite thrilling, but doubtless due to the budget restrictions failed, and made one feel that a plane losing all engines was no big deal really, and you would safely glide down to a bit of a bumpy landing, but no real danger! - the reality of course being somewhat different!",Negative
"I like this film for several reasons. I have a soft spot for films about intricately plotted criminal plots like TOPKAPI. I also enjoy films (like TOPKAPI and BIG DEAL ON MADONNA STREET) that spoof the the genre. One of the best ones is DISORGANIZED CRIME.<br /><br />Corbin Bernsen has met four cons over the years, and he decides they can all be useful in a bank robbery he is planning in a small Montana town. But he hasn't given any details on the crime to the fellows, nor do they really know each other at all. Shortly after he sends for them Bernsen is arrested by two New Jersey policemen (Ed O'Neill and Daniel Roebuck) whom he escaped from before and have a warrant to bring him back. While he is in their custody the four cons (Fred Gwynne, Lou Diamond Philips, Ruben Blades, and Will Russ) show up without a clue about why they are there except that Bernsen was planning something. <br /><br />The first twenty minutes of the film deal with the four cons slowly getting used to each other, with Gwynne and Philips managing to push away their own suspicions to figure out they have to trust each other. At the same time we see Bernsen patiently waiting for the right moment to escape from O'Neill and Roebuck again - not too difficult as they are not the brightest bulbs who ever existed. The result are two sets of plots that will keep juxtaposing against each other throughout the film: the four cons trying to figure out what Bernsen's scheme was, and how to put it into operation, and Bernsen trying to maintain his own freedom from his pursuers and regain his cabin (and hopefully find his gang there for him to take command of). There is also a third, smaller, plot involving the growing annoyance and anger of local Sheriff Hoyt Axton against the idiots from New Jersey who keep getting into his hair.<br /><br />There are many delightful moments in the film, such as Axton, egged on by O'Neil and Roebuck, into surrounding a house in the town that Bernsen is supposed to be hiding inside of, and yelling (through a megaphone, ""Come out, we have you surrounded!!"", only to have the scene switch to a huge, Montana plain that Bernsen is struggling and stumbling through miles from where the police think he is at that moment. There are moments of misadventures by our four cons, who fortunately put the oldest (Gwynne) into leadership position. This does not always guarantee anything. At one point their car won't start, and they have to thumb a ride by truck. Unfortunately it is a truck carrying manure.<br /><br />The conclusion with the gang successfully carrying out the robbery, including disabling all the police cars at the critical time (Philips specialty is cars) is also a gem of timing, suspense, and comic results. The film is very entertaining, and certainly worth watching.",Positive
"I'm not a stage purist. A movie could have been made of this play, and it would almost necessarily require changes... comme ci, comme ca. But the modest conceits of this material are lost or misunderstood by the movie's creators who are in full-on ""shallow blockbuster"" mode. It would be hard to imagine a worse director. Perhaps only Josh Logan & Jack Warner could have ruined this in the same way Attenborough did.<br /><br />Onstage A Chorus line was a triumph of workshopping as a production method. Dancers answering a casting call found themselves sitting around shooting the crap about their stage-career experiences (very 70s!). Then Bennett and Hamlisch took some time, handed them a song and cast them as themselves. ...astonishing! Unbelievably modern. The 'story'of ACL is (in turn) about answering a casting call for a play we never have a complete view of, because the play doesn't matter. It was meta before the idea was invented, 25 years before Adaptation noodled with a similar idea. ACL was also another in a reductivist trend that is still alive, & which is a hallmark of modern creativity: that technique itself is compelling... that there's more drama in an average person's life than you could ever synthesize with invented characters. What a gracious idea. The stage play had one performance area (an empty stage) and three different ways to alter the backdrop, to alleviate visual tedium, not to keep viewers distracted. The space recedes and the actors stories are spotlighted. It worked just fine. That was the point. All these ideas are trampled or bastardized. Set-wise, there wasn't one, and no costumes either until the the dancers came out for their final bows, in which the exhilarating ""One"" is finally, powerfully, performed in full (gold) top hats and tails, with moves we recognize because we've watched them in practice sessions. The pent-up anxiety of the play is released --- and audiences went nuts. <br /><br />After Grampa manhandles this, it's like a mushed, strangled bird. He clearly has the earlier, respected All that Jazz (and Fosse's stage piece Dancin') in mind as he makes his choices. Hamlisch's score was edgy & interesting for it's time, but time has not been kind to it. It's as schmaltzy as ""jazz hands."" And that's before Attenborough ever touches it. He's remarkable at finding whatever good was left, and mangling it. <br /><br />A simple question might have helped Attenborough while filming this, ""Could I bear spending even a few minutes with people like these?"" A major issue for any adaptation of the play is how the 4th wall of theater (pivotal by it's absence in theater) would be addressed in the film format. There's never been a more ""frontal"" play. The answer they came up with was, ""I'm sorry.. what was the question?"" The cast has been augmented from a manageable number of unique narratives, to a crowd suffocating each other and the audience, and blending their grating selves together. I was well past my annoyance threshold when that annoying little runt swings across the stage on a rope, clowning at the (absent) audience. The play made you understand theater people. This movie just makes you want to choke them.<br /><br />Perhaps Broadways annoying trend of characters walking directly to stage center and singing their stories at the audience (Les Miz, Miss Saigon) instead of relating to other characters started here. But the worst imaginable revival of the play will make you feel more alive than this movie. <br /><br />A Chorus Line is pure schlock.",Neutral
"Deathtrap gives you a twist at every turn, every single turn, in fact its biggest problem is that there are so many twists that you never really get oriented in the film, and it often doesn't make any sense, although they do usually catch you by surprise. The story is very good, except for the fact that it has so many twists. The screenplay is very good with great dialogue and characters, but you can't catch all the development because of the twists. The performances particularly by Caine are amazing. The direction is very good, Sidney Lumet can direct. The visual effects are fair, but than again most are actually in a play and are fake. Twists way to much, but still works and is worth watching.",Positive
"Angels who got a little icky were banned from heaven and now reside in a British forest where they seduce and chop up teens. Talk about high concept. On the plus side this little mother gives us Tom Savini, but since his acting range is limited to two minutes screen-time, his five minute presence seems a tad long. The angels run around the forest naked for the most part of the movie, but though they might have the body of an angel, their faces sure look like Joan Rivers on a bad day. Mediocre acting and amateurish gore-effects don't help and the night scenes fatally recall Paris Hilton's most famous movie. So bad that it is REALLY bad.",Neutral
